750:  1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 100.0% | 5/5 : 100.0% | 6/5 : 500.0% ||
751:  1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 100.0% | 5/5 : 50.0% | 6/5 : 450.0% ||
752:  1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 100.0% | 5/5 : 66.7% | 6/5 : 466.7% ||
753:  1/5 : 100.0% | 2/5 : 75.0% | 3/5 : 75.0% | 4/5 : 75.0% | 5/5 : 50.0% | 6/5 : 375.0% ||
754:  1/5 : 100.0% | 2/5 : 80.0% | 3/5 : 60.0% | 4/5 : 60.0% | 5/5 : 40.0% | 6/5 : 340.0% ||
755:  1/5 : 100.0% | 2/5 : 83.3% | 3/5 : 66.7% | 4/5 : 50.0% | 5/5 : 33.3% | 6/5 : 333.3% ||
756:  1/5 : 100.0% | 2/5 : 85.7% | 3/5 : 71.4% | 4/5 : 57.1% | 5/5 : 42.9% | 6/5 : 357.1% ||
757:  1/5 : 100.0% | 2/5 : 87.5% | 3/5 : 62.5% | 4/5 : 50.0% | 5/5 : 37.5% | 6/5 : 337.5% ||
758:  1/5 : 100.0% | 2/5 : 88.9% | 3/5 : 66.7% | 4/5 : 55.6% | 5/5 : 44.4% | 6/5 : 355.6% ||
759:  1/5 : 100.0% | 2/5 : 90.0% | 3/5 : 60.0% | 4/5 : 50.0% | 5/5 : 40.0% | 6/5 : 340.0% ||
760:  1/5 : 100.0% | 2/5 : 90.9% | 3/5 : 63.6% | 4/5 : 54.5% | 5/5 : 45.5% | 6/5 : 354.5% ||
761:  1/5 : 100.0% | 2/5 : 91.7% | 3/5 : 66.7% | 4/5 : 50.0% | 5/5 : 41.7% | 6/5 : 350.0% ||
762:  1/5 : 100.0% | 2/5 : 92.3% | 3/5 : 69.2% | 4/5 : 46.2% | 5/5 : 38.5% | 6/5 : 346.2% ||
763:  1/5 : 100.0% | 2/5 : 92.9% | 3/5 : 71.4% | 4/5 : 50.0% | 5/5 : 42.9% | 6/5 : 357.1% ||
764:  1/5 : 100.0% | 2/5 : 86.7% | 3/5 : 66.7% | 4/5 : 46.7% | 5/5 : 40.0% | 6/5 : 340.0% ||
765:  1/5 : 100.0% | 2/5 : 87.5% | 3/5 : 68.8% | 4/5 : 50.0% | 5/5 : 43.8% | 6/5 : 350.0% ||
766:  1/5 : 100.0% | 2/5 : 82.4% | 3/5 : 64.7% | 4/5 : 47.1% | 5/5 : 41.2% | 6/5 : 335.3% ||
767:  1/5 : 100.0% | 2/5 : 83.3% | 3/5 : 66.7% | 4/5 : 50.0% | 5/5 : 44.4% | 6/5 : 344.4% ||
768:  1/5 : 100.0% | 2/5 : 84.2% | 3/5 : 68.4% | 4/5 : 52.6% | 5/5 : 47.4% | 6/5 : 352.6% ||
769:  1/5 : 100.0% | 2/5 : 85.0% | 3/5 : 70.0% | 4/5 : 55.0% | 5/5 : 50.0% | 6/5 : 360.0% ||
770:  1/5 : 95.2% | 2/5 : 81.0% | 3/5 : 66.7% | 4/5 : 52.4% | 5/5 : 47.6% | 6/5 : 342.9% ||
771:  1/5 : 95.5% | 2/5 : 81.8% | 3/5 : 68.2% | 4/5 : 54.5% | 5/5 : 45.5% | 6/5 : 345.5% ||
772:  1/5 : 91.3% | 2/5 : 78.3% | 3/5 : 65.2% | 4/5 : 52.2% | 5/5 : 43.5% | 6/5 : 330.4% ||
773:  1/5 : 91.7% | 2/5 : 79.2% | 3/5 : 66.7% | 4/5 : 50.0% | 5/5 : 41.7% | 6/5 : 329.2% ||
774:  1/5 : 92.0% | 2/5 : 76.0% | 3/5 : 64.0% | 4/5 : 48.0% | 5/5 : 40.0% | 6/5 : 320.0% ||
775:  1/5 : 92.3% | 2/5 : 76.9% | 3/5 : 65.4% | 4/5 : 50.0% | 5/5 : 42.3% | 6/5 : 326.9% ||
776:  1/5 : 92.6% | 2/5 : 77.8% | 3/5 : 66.7% | 4/5 : 51.9% | 5/5 : 44.4% | 6/5 : 333.3% ||
777:  1/5 : 92.9% | 2/5 : 78.6% | 3/5 : 67.9% | 4/5 : 53.6% | 5/5 : 46.4% | 6/5 : 339.3% ||
778:  1/5 : 93.1% | 2/5 : 79.3% | 3/5 : 69.0% | 4/5 : 55.2% | 5/5 : 48.3% | 6/5 : 344.8% ||
779:  1/5 : 93.3% | 2/5 : 80.0% | 3/5 : 70.0% | 4/5 : 56.7% | 5/5 : 50.0% | 6/5 : 350.0% ||
780:  1/5 : 93.5% | 2/5 : 80.6% | 3/5 : 71.0% | 4/5 : 58.1% | 5/5 : 51.6% | 6/5 : 354.8% ||
781:  1/5 : 93.8% | 2/5 : 78.1% | 3/5 : 68.8% | 4/5 : 56.2% | 5/5 : 50.0% | 6/5 : 346.9% ||
782:  1/5 : 93.9% | 2/5 : 78.8% | 3/5 : 69.7% | 4/5 : 57.6% | 5/5 : 51.5% | 6/5 : 351.5% ||
783:  1/5 : 94.1% | 2/5 : 79.4% | 3/5 : 70.6% | 4/5 : 58.8% | 5/5 : 52.9% | 6/5 : 355.9% ||
784:  1/5 : 94.3% | 2/5 : 80.0% | 3/5 : 71.4% | 4/5 : 60.0% | 5/5 : 54.3% | 6/5 : 360.0% ||
785:  1/5 : 94.4% | 2/5 : 80.6% | 3/5 : 72.2% | 4/5 : 61.1% | 5/5 : 52.8% | 6/5 : 361.1% ||
786:  1/5 : 94.6% | 2/5 : 78.4% | 3/5 : 70.3% | 4/5 : 59.5% | 5/5 : 51.4% | 6/5 : 354.1% ||
787:  1/5 : 94.7% | 2/5 : 78.9% | 3/5 : 71.1% | 4/5 : 60.5% | 5/5 : 50.0% | 6/5 : 355.3% ||
788:  1/5 : 94.9% | 2/5 : 79.5% | 3/5 : 69.2% | 4/5 : 59.0% | 5/5 : 48.7% | 6/5 : 351.3% ||
789:  1/5 : 95.0% | 2/5 : 80.0% | 3/5 : 70.0% | 4/5 : 60.0% | 5/5 : 50.0% | 6/5 : 355.0% ||
790:  1/5 : 95.1% | 2/5 : 80.5% | 3/5 : 70.7% | 4/5 : 61.0% | 5/5 : 51.2% | 6/5 : 358.5% ||
791:  1/5 : 95.2% | 2/5 : 81.0% | 3/5 : 71.4% | 4/5 : 61.9% | 5/5 : 52.4% | 6/5 : 361.9% ||
792:  1/5 : 95.3% | 2/5 : 79.1% | 3/5 : 69.8% | 4/5 : 60.5% | 5/5 : 51.2% | 6/5 : 355.8% ||
793:  1/5 : 95.5% | 2/5 : 79.5% | 3/5 : 70.5% | 4/5 : 61.4% | 5/5 : 52.3% | 6/5 : 359.1% ||
794:  1/5 : 95.6% | 2/5 : 80.0% | 3/5 : 71.1% | 4/5 : 62.2% | 5/5 : 53.3% | 6/5 : 362.2% ||
795:  1/5 : 95.7% | 2/5 : 80.4% | 3/5 : 71.7% | 4/5 : 63.0% | 5/5 : 54.3% | 6/5 : 365.2% ||
796:  1/5 : 95.7% | 2/5 : 80.9% | 3/5 : 72.3% | 4/5 : 63.8% | 5/5 : 55.3% | 6/5 : 368.1% ||
797:  1/5 : 95.8% | 2/5 : 81.2% | 3/5 : 72.9% | 4/5 : 64.6% | 5/5 : 54.2% | 6/5 : 368.8% ||
798:  1/5 : 95.9% | 2/5 : 79.6% | 3/5 : 71.4% | 4/5 : 63.3% | 5/5 : 53.1% | 6/5 : 363.3% ||
799:  1/5 : 96.0% | 2/5 : 80.0% | 3/5 : 72.0% | 4/5 : 64.0% | 5/5 : 54.0% | 6/5 : 366.0% ||
800:  1/5 : 96.1% | 2/5 : 80.4% | 3/5 : 72.5% | 4/5 : 64.7% | 5/5 : 54.9% | 6/5 : 368.6% ||
801:  1/5 : 96.2% | 2/5 : 80.8% | 3/5 : 73.1% | 4/5 : 65.4% | 5/5 : 55.8% | 6/5 : 371.2% ||
802:  1/5 : 96.2% | 2/5 : 81.1% | 3/5 : 73.6% | 4/5 : 66.0% | 5/5 : 56.6% | 6/5 : 373.6% ||
803:  1/5 : 96.3% | 2/5 : 81.5% | 3/5 : 74.1% | 4/5 : 66.7% | 5/5 : 57.4% | 6/5 : 375.9% ||
804:  1/5 : 96.4% | 2/5 : 81.8% | 3/5 : 74.5% | 4/5 : 65.5% | 5/5 : 56.4% | 6/5 : 374.5% ||
805:  1/5 : 96.4% | 2/5 : 82.1% | 3/5 : 75.0% | 4/5 : 66.1% | 5/5 : 57.1% | 6/5 : 376.8% ||
806:  1/5 : 96.5% | 2/5 : 82.5% | 3/5 : 75.4% | 4/5 : 66.7% | 5/5 : 57.9% | 6/5 : 378.9% ||
807:  1/5 : 96.6% | 2/5 : 82.8% | 3/5 : 75.9% | 4/5 : 65.5% | 5/5 : 56.9% | 6/5 : 377.6% ||
808:  1/5 : 96.6% | 2/5 : 83.1% | 3/5 : 76.3% | 4/5 : 66.1% | 5/5 : 57.6% | 6/5 : 379.7% ||
