0/250: 1.000 | 1.000 | 1.000 | 1.000 | 0.000 | 
1/250: 1.000 | 1.000 | 1.000 | 1.000 | 0.500 | 
2/250: 1.000 | 1.000 | 1.000 | 1.000 | 0.667 | 
3/250: 0.750 | 0.750 | 0.750 | 0.750 | 0.500 | 
4/250: 0.800 | 0.600 | 0.600 | 0.600 | 0.400 | 
5/250: 0.833 | 0.667 | 0.667 | 0.667 | 0.333 | 
6/250: 0.857 | 0.714 | 0.714 | 0.571 | 0.286 | 
7/250: 0.750 | 0.625 | 0.625 | 0.500 | 0.250 | 
8/250: 0.778 | 0.556 | 0.556 | 0.444 | 0.222 | 
9/250: 0.700 | 0.500 | 0.500 | 0.400 | 0.200 | 
10/250: 0.727 | 0.545 | 0.545 | 0.455 | 0.182 | 
11/250: 0.750 | 0.500 | 0.500 | 0.417 | 0.167 | 
12/250: 0.769 | 0.462 | 0.462 | 0.385 | 0.154 | 
13/250: 0.786 | 0.500 | 0.500 | 0.429 | 0.214 | 
14/250: 0.800 | 0.467 | 0.467 | 0.400 | 0.200 | 
15/250: 0.812 | 0.500 | 0.500 | 0.438 | 0.250 | 
16/250: 0.824 | 0.529 | 0.471 | 0.412 | 0.235 | 
17/250: 0.778 | 0.500 | 0.444 | 0.389 | 0.222 | 
18/250: 0.737 | 0.474 | 0.421 | 0.368 | 0.211 | 
19/250: 0.750 | 0.500 | 0.400 | 0.350 | 0.200 | 
20/250: 0.762 | 0.476 | 0.381 | 0.333 | 0.190 | 
21/250: 0.773 | 0.455 | 0.364 | 0.318 | 0.182 | 
22/250: 0.783 | 0.478 | 0.391 | 0.304 | 0.174 | 
23/250: 0.792 | 0.500 | 0.417 | 0.333 | 0.208 | 
24/250: 0.800 | 0.520 | 0.440 | 0.360 | 0.240 | 
25/250: 0.808 | 0.538 | 0.462 | 0.346 | 0.231 | 
26/250: 0.778 | 0.519 | 0.444 | 0.333 | 0.222 | 
27/250: 0.750 | 0.500 | 0.429 | 0.321 | 0.214 | 
28/250: 0.724 | 0.483 | 0.414 | 0.310 | 0.207 | 
29/250: 0.700 | 0.467 | 0.400 | 0.300 | 0.200 | 
