0/250: 1.000 | 1.000 | 1.000 | 0.000 | 0.000 | 
1/250: 1.000 | 1.000 | 1.000 | 0.500 | 0.500 | 
2/250: 1.000 | 1.000 | 1.000 | 0.667 | 0.333 | 
3/250: 1.000 | 0.750 | 0.750 | 0.500 | 0.250 | 
4/250: 0.800 | 0.600 | 0.600 | 0.400 | 0.200 | 
5/250: 0.833 | 0.667 | 0.667 | 0.333 | 0.167 | 
6/250: 0.857 | 0.714 | 0.714 | 0.429 | 0.286 | 
7/250: 0.875 | 0.750 | 0.625 | 0.375 | 0.250 | 
8/250: 0.889 | 0.778 | 0.667 | 0.444 | 0.333 | 
9/250: 0.800 | 0.700 | 0.600 | 0.400 | 0.300 | 
10/250: 0.818 | 0.727 | 0.636 | 0.455 | 0.364 | 
11/250: 0.833 | 0.750 | 0.583 | 0.417 | 0.333 | 
12/250: 0.846 | 0.769 | 0.615 | 0.462 | 0.385 | 
13/250: 0.857 | 0.786 | 0.643 | 0.500 | 0.429 | 
14/250: 0.867 | 0.733 | 0.600 | 0.467 | 0.400 | 
15/250: 0.875 | 0.750 | 0.625 | 0.500 | 0.438 | 
16/250: 0.882 | 0.706 | 0.588 | 0.471 | 0.412 | 
17/250: 0.889 | 0.722 | 0.611 | 0.500 | 0.444 | 
18/250: 0.895 | 0.737 | 0.632 | 0.526 | 0.474 | 
19/250: 0.900 | 0.750 | 0.600 | 0.500 | 0.450 | 
20/250: 0.905 | 0.762 | 0.571 | 0.476 | 0.429 | 
21/250: 0.909 | 0.773 | 0.591 | 0.500 | 0.409 | 
22/250: 0.870 | 0.739 | 0.565 | 0.478 | 0.391 | 
23/250: 0.875 | 0.750 | 0.583 | 0.500 | 0.417 | 
24/250: 0.840 | 0.720 | 0.560 | 0.480 | 0.400 | 
25/250: 0.846 | 0.731 | 0.577 | 0.500 | 0.423 | 
26/250: 0.852 | 0.741 | 0.593 | 0.519 | 0.407 | 
27/250: 0.857 | 0.750 | 0.607 | 0.500 | 0.393 | 
28/250: 0.862 | 0.759 | 0.621 | 0.483 | 0.379 | 
29/250: 0.867 | 0.767 | 0.633 | 0.467 | 0.367 | 
30/250: 0.871 | 0.774 | 0.645 | 0.452 | 0.355 | 
31/250: 0.875 | 0.750 | 0.625 | 0.438 | 0.344 | 
32/250: 0.879 | 0.758 | 0.636 | 0.455 | 0.364 | 
33/250: 0.853 | 0.735 | 0.618 | 0.441 | 0.353 | 
34/250: 0.857 | 0.743 | 0.629 | 0.457 | 0.343 | 
35/250: 0.861 | 0.750 | 0.639 | 0.472 | 0.333 | 
36/250: 0.865 | 0.730 | 0.622 | 0.459 | 0.324 | 
37/250: 0.868 | 0.737 | 0.632 | 0.474 | 0.316 | 
38/250: 0.872 | 0.744 | 0.641 | 0.487 | 0.308 | 
39/250: 0.875 | 0.750 | 0.650 | 0.500 | 0.325 | 
40/250: 0.854 | 0.732 | 0.634 | 0.488 | 0.317 | 
41/250: 0.857 | 0.738 | 0.643 | 0.476 | 0.310 | 
42/250: 0.860 | 0.721 | 0.628 | 0.465 | 0.302 | 
43/250: 0.864 | 0.727 | 0.636 | 0.477 | 0.318 | 
44/250: 0.867 | 0.733 | 0.644 | 0.489 | 0.333 | 
45/250: 0.870 | 0.739 | 0.652 | 0.500 | 0.348 | 
46/250: 0.872 | 0.723 | 0.638 | 0.489 | 0.340 | 
47/250: 0.875 | 0.729 | 0.625 | 0.479 | 0.333 | 
48/250: 0.857 | 0.714 | 0.612 | 0.469 | 0.327 | 
49/250: 0.860 | 0.720 | 0.620 | 0.480 | 0.340 | 
50/250: 0.863 | 0.725 | 0.627 | 0.490 | 0.333 | 
51/250: 0.865 | 0.731 | 0.635 | 0.500 | 0.346 | 
52/250: 0.849 | 0.717 | 0.623 | 0.491 | 0.340 | 
53/250: 0.852 | 0.722 | 0.630 | 0.500 | 0.352 | 
54/250: 0.855 | 0.709 | 0.618 | 0.491 | 0.345 | 
55/250: 0.857 | 0.714 | 0.625 | 0.482 | 0.339 | 
56/250: 0.860 | 0.719 | 0.632 | 0.491 | 0.351 | 
57/250: 0.862 | 0.724 | 0.638 | 0.483 | 0.345 | 
58/250: 0.847 | 0.712 | 0.627 | 0.475 | 0.339 | 
59/250: 0.850 | 0.700 | 0.617 | 0.467 | 0.333 | 
60/250: 0.852 | 0.705 | 0.623 | 0.459 | 0.328 | 
61/250: 0.855 | 0.694 | 0.613 | 0.452 | 0.323 | 
62/250: 0.841 | 0.683 | 0.603 | 0.444 | 0.317 | 
63/250: 0.844 | 0.688 | 0.609 | 0.453 | 0.328 | 
64/250: 0.846 | 0.677 | 0.600 | 0.446 | 0.323 | 
65/250: 0.848 | 0.667 | 0.591 | 0.439 | 0.318 | 
66/250: 0.851 | 0.657 | 0.582 | 0.433 | 0.313 | 
67/250: 0.838 | 0.647 | 0.574 | 0.426 | 0.309 | 
68/250: 0.841 | 0.652 | 0.580 | 0.435 | 0.304 | 
69/250: 0.843 | 0.657 | 0.586 | 0.429 | 0.300 | 
70/250: 0.845 | 0.662 | 0.592 | 0.437 | 0.310 | 
71/250: 0.847 | 0.667 | 0.597 | 0.444 | 0.319 | 
72/250: 0.849 | 0.671 | 0.603 | 0.452 | 0.329 | 
73/250: 0.851 | 0.676 | 0.608 | 0.459 | 0.338 | 
