0/250: 1.000 | 1.000 | 1.000 | 1.000 | 0.000 | 
1/250: 1.000 | 1.000 | 1.000 | 1.000 | 0.500 | 
2/250: 1.000 | 1.000 | 1.000 | 1.000 | 0.667 | 
3/250: 1.000 | 0.750 | 0.750 | 0.750 | 0.500 | 
4/250: 1.000 | 0.800 | 0.800 | 0.600 | 0.400 | 
5/250: 1.000 | 0.833 | 0.833 | 0.667 | 0.333 | 
6/250: 1.000 | 0.857 | 0.857 | 0.714 | 0.286 | 
7/250: 0.875 | 0.750 | 0.750 | 0.625 | 0.250 | 
8/250: 0.889 | 0.667 | 0.667 | 0.556 | 0.222 | 
9/250: 0.900 | 0.700 | 0.700 | 0.500 | 0.200 | 
10/250: 0.909 | 0.727 | 0.727 | 0.545 | 0.182 | 
11/250: 0.917 | 0.750 | 0.667 | 0.500 | 0.167 | 
12/250: 0.923 | 0.769 | 0.692 | 0.538 | 0.231 | 
13/250: 0.929 | 0.786 | 0.643 | 0.500 | 0.214 | 
14/250: 0.933 | 0.800 | 0.667 | 0.533 | 0.267 | 
15/250: 0.938 | 0.812 | 0.688 | 0.500 | 0.250 | 
16/250: 0.941 | 0.824 | 0.647 | 0.471 | 0.235 | 
17/250: 0.944 | 0.833 | 0.667 | 0.500 | 0.222 | 
18/250: 0.895 | 0.789 | 0.632 | 0.474 | 0.211 | 
19/250: 0.900 | 0.800 | 0.650 | 0.450 | 0.200 | 
20/250: 0.905 | 0.762 | 0.619 | 0.429 | 0.190 | 
21/250: 0.909 | 0.727 | 0.591 | 0.409 | 0.182 | 
22/250: 0.913 | 0.739 | 0.609 | 0.435 | 0.174 | 
23/250: 0.917 | 0.750 | 0.625 | 0.458 | 0.208 | 
24/250: 0.920 | 0.760 | 0.640 | 0.480 | 0.200 | 
25/250: 0.923 | 0.769 | 0.654 | 0.500 | 0.192 | 
26/250: 0.889 | 0.741 | 0.630 | 0.481 | 0.185 | 
27/250: 0.857 | 0.714 | 0.607 | 0.464 | 0.179 | 
28/250: 0.828 | 0.690 | 0.586 | 0.448 | 0.172 | 
29/250: 0.833 | 0.700 | 0.600 | 0.467 | 0.200 | 
