suite,task_id,task_name,task_description,episode_idx,instance_id,total_episode_idx,policy_name,checkpoint_ref,initial_states_path,success,num_env_steps,error_type,elapsed_s
libero_object,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick up the bbq sauce and place it in the basket,0,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket/0000,1500,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,170,,12.030
libero_object,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick up the bbq sauce and place it in the basket,1,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket/0001,1501,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,166,,8.744
libero_object,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick up the bbq sauce and place it in the basket,2,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket/0002,1502,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,174,,9.013
libero_object,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick up the bbq sauce and place it in the basket,3,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket/0003,1503,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,167,,8.777
libero_object,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick up the bbq sauce and place it in the basket,4,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket/0004,1504,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,163,,8.631
libero_object,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick up the bbq sauce and place it in the basket,5,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket/0005,1505,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,164,,8.820
libero_object,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick up the bbq sauce and place it in the basket,6,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket/0006,1506,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,172,,9.115
libero_object,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick up the bbq sauce and place it in the basket,7,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket/0007,1507,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,118,,7.287
libero_object,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick up the bbq sauce and place it in the basket,8,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket/0008,1508,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,128,,8.186
libero_object,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick up the bbq sauce and place it in the basket,9,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket/0009,1509,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,118,,7.742
libero_object,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick up the bbq sauce and place it in the basket,10,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket/0010,1510,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,158,,9.266
libero_object,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick up the bbq sauce and place it in the basket,11,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket/0011,1511,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,126,,9.227
