suite,task_id,task_name,episode_idx,instance_id,policy_name,checkpoint_ref,success,num_env_steps,error_type
libero_goal,9,put_the_wine_bottle_on_the_rack,0,libero_goal/put_the_wine_bottle_on_the_rack/0000,simvla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/simvla-libero@93dc4d90b0596c652ad2840ad743c62b9c4473fb,1,133,
libero_goal,9,put_the_wine_bottle_on_the_rack,1,libero_goal/put_the_wine_bottle_on_the_rack/0001,simvla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/simvla-libero@93dc4d90b0596c652ad2840ad743c62b9c4473fb,1,171,
libero_goal,9,put_the_wine_bottle_on_the_rack,2,libero_goal/put_the_wine_bottle_on_the_rack/0002,simvla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/simvla-libero@93dc4d90b0596c652ad2840ad743c62b9c4473fb,1,145,
libero_goal,9,put_the_wine_bottle_on_the_rack,3,libero_goal/put_the_wine_bottle_on_the_rack/0003,simvla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/simvla-libero@93dc4d90b0596c652ad2840ad743c62b9c4473fb,1,228,
libero_goal,9,put_the_wine_bottle_on_the_rack,4,libero_goal/put_the_wine_bottle_on_the_rack/0004,simvla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/simvla-libero@93dc4d90b0596c652ad2840ad743c62b9c4473fb,1,150,
libero_goal,9,put_the_wine_bottle_on_the_rack,5,libero_goal/put_the_wine_bottle_on_the_rack/0005,simvla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/simvla-libero@93dc4d90b0596c652ad2840ad743c62b9c4473fb,1,180,
libero_goal,9,put_the_wine_bottle_on_the_rack,6,libero_goal/put_the_wine_bottle_on_the_rack/0006,simvla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/simvla-libero@93dc4d90b0596c652ad2840ad743c62b9c4473fb,1,150,
libero_goal,9,put_the_wine_bottle_on_the_rack,7,libero_goal/put_the_wine_bottle_on_the_rack/0007,simvla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/simvla-libero@93dc4d90b0596c652ad2840ad743c62b9c4473fb,1,144,
libero_goal,9,put_the_wine_bottle_on_the_rack,8,libero_goal/put_the_wine_bottle_on_the_rack/0008,simvla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/simvla-libero@93dc4d90b0596c652ad2840ad743c62b9c4473fb,1,396,
libero_goal,9,put_the_wine_bottle_on_the_rack,9,libero_goal/put_the_wine_bottle_on_the_rack/0009,simvla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/simvla-libero@93dc4d90b0596c652ad2840ad743c62b9c4473fb,1,159,
libero_goal,9,put_the_wine_bottle_on_the_rack,10,libero_goal/put_the_wine_bottle_on_the_rack/0010,simvla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/simvla-libero@93dc4d90b0596c652ad2840ad743c62b9c4473fb,1,137,
libero_goal,9,put_the_wine_bottle_on_the_rack,11,libero_goal/put_the_wine_bottle_on_the_rack/0011,simvla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/simvla-libero@93dc4d90b0596c652ad2840ad743c62b9c4473fb,1,130,
libero_goal,9,put_the_wine_bottle_on_the_rack,12,libero_goal/put_the_wine_bottle_on_the_rack/0012,simvla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/simvla-libero@93dc4d90b0596c652ad2840ad743c62b9c4473fb,1,378,
libero_goal,9,put_the_wine_bottle_on_the_rack,13,libero_goal/put_the_wine_bottle_on_the_rack/0013,simvla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/simvla-libero@93dc4d90b0596c652ad2840ad743c62b9c4473fb,1,235,
libero_goal,9,put_the_wine_bottle_on_the_rack,14,libero_goal/put_the_wine_bottle_on_the_rack/0014,simvla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/simvla-libero@93dc4d90b0596c652ad2840ad743c62b9c4473fb,0,810,
libero_goal,9,put_the_wine_bottle_on_the_rack,15,libero_goal/put_the_wine_bottle_on_the_rack/0015,simvla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/simvla-libero@93dc4d90b0596c652ad2840ad743c62b9c4473fb,1,146,
